Samplers,Date,Fish #,Tag #,Recap?,Section #,Species,Gear,Length ,Weight (g),Age,Size Class,Sex,Stomach?,Salmon total,Coho,Sockeye,UI Salmon,Stickleback ,Sculpin,Longnose Sucker,Pike,Burbot,Lamprey,UI Fish,Scud,Dragon Fly,Water tiger,Damsel Fly,Caddis Fly,Stonefly,Mayfly,Chironomid,Beetle,Spider,Wasp,Clam/mussel,Snail,Leech,Water Boatman,White worm,Roundworm,Worm,Moth,Maggot,UI Invert,Mammal,Bird,Eggs,Other (specify),Total Inverts,Comments
NS JJ,6/17/2019,1381,2114,R,1,NP,Gillnet,586,1504,,> 310,M,Y,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,8,
NS JJ,6/17/2019,1382,2124,R,1,NP,Gillnet,482,768,,> 310,F,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
NS JJ,6/17/2019,1383,,,1,NP,Gillnet,259,141,,< 310,U,Y,,,,,1,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,7,
NS JJ,6/17/2019,1384,2063,R,1,NP,Gillnet,659,2175,,> 310,F,Y,,,,,,,,1,,,,,11,,,,,,,,,,,,13,,,,,,,,,,,,24,
NS JJ,6/17/2019,1385,2119,R,1,NP,Gillnet,588,1454,,> 310,F,Y,1,,,1,2,,,,,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,2,
NS JJ,6/17/2019,1386,,,1,NP,Gillnet,346,313,,> 310,F,Y,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,1,
NS JJ,6/17/2019,1387,,,1,NP,Gillnet,318,249,,> 310,U,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
NS JJ,6/17/2019,1388,,,1,NP,Gillnet,311,235,,> 310,F,Y,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
NS JJ,6/17/2019,1389,,,1,NP,Gillnet,584,1552,,> 310,M,Y,,,,,,,,,,,,,3,,,,,,,,,,,,4,,,,,,,,,,,,7,
NS JJ,6/17/2019,1390,,,1,NP,Gillnet,329,300,,> 310,U,Y,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,
NS JJ,6/17/2019,1391,,,1,NP,Gillnet,305,215,,< 310,F,Y,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
NS JJ,6/17/2019,1392,,,1,NP,Gillnet,307,248,,< 310,M,Y,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
NS JJ,6/17/2019,1393,,,1,NP,Gillnet,305,245,,< 310,F,Y,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
NS JJ,6/17/2019,1394,,,1,NP,Gillnet,405,499,,> 310,F,Y,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,7,
NS JJ,6/17/2019,1395,,,1,NP,Gillnet,657,2485,,> 310,F,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,10,
NS JJ,6/17/2019,1396,,,1,NP,Gillnet,832,4194,,> 310,M,Y,,,,,,,,,,,,,4,,,,,,,,,,,,4,,,,,,,,,,,,8,
NS JJ,6/17/2019,1397,2105,R,1,NP,Gillnet,663,2195,,> 310,F,Y,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,2,
NS JJ,6/17/2019,1398,2111,R,1,NP,Gillnet,625,1580,,> 310,F,Y,,,,,,,,,,,,,4,,,,,,,,,,,,1,,,,,,,,,,,,5,
NS JJ,6/17/2019,1399,2121,R,1,NP,Gillnet,588,1588,,> 310,F,Y,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,1,,,,,,,,2,
NS JJ,6/17/2019,1400,,,1,NP,Gillnet,300,167,,< 310,F,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
NS JJ,6/17/2019,1401,2051,R,1,NP,Gillnet,564,1245,,> 310,F,Y,,,,,,,,,,,,,2,,,,,,,,,,,,1,,,,,,,,,,,,3,
NS JJ,6/17/2019,1402,TL,R,1,NP,Gillnet,770,3156,,> 310,M,Y,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,11,
NS JJ,6/17/2019,1403,2057,R,1,NP,Gillnet,635,1842,,> 310,F,Y,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,0,
NS JJ,6/17/2019,1404,,,1,NP,Gillnet,285,177,,< 310,F,Y,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,
NS JJ,6/17/2019,1405,,,1,NP,Gillnet,564,1469,,> 310,F,Y,,,,,,,,,,,2,,,,,,,,,,,,,,1,,,,,,,,2,,,,1,
NS JJ,6/17/2019,1406,,,1,NP,Gillnet,276,171,,< 310,U,Y,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
NS JJ,6/17/2019,1407,,,1,NP,Gillnet,275,141,,< 310,F,Y,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,
NS JJ,6/17/2019,1408,,,1,NP,Gillnet,310,233,,< 310,M,Y,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,
NS JJ,6/17/2019,1409,2115,R,1,NP,Gillnet,595,1667,,> 310,M,Y,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,1,,,,,,,,10,
NS JJ,6/17/2019,1410,,,1,NP,Gillnet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Head only, took cleithra and oto"
NS JJ,6/17/2019,1411,,,1,NP,Gillnet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Head only, took oto"
NS JJ,6/17/2019,1412,2068,R,1,NP,Angler,540,1211,,> 310,M,Y,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,
PB EH JJ,6/18/2019,1413,2053,R,2,NP,Gillnet,532,1042,,> 310,M,Y,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,8,
PB EH JJ,6/18/2019,1414,,,2,NP,Gillnet,595,1535,,> 310,F,Y,,,,,,,,,,,,,5,,,,,,,,,,,,1,,,,,,,,,,,,6,
PB EH JJ,6/18/2019,1415,2106,R,2,NP,Gillnet,568,1555,,> 310,M,Y,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,12,
PB EH JJ,6/18/2019,1416,,,2,NP,Gillnet,342,327,,> 310,M,Y,,,,,,,,,,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,2,
PB EH JJ,6/18/2019,1417,,,2,NP,Gillnet,456,783,,> 310,M,Y,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,6,
