PERMIT,HARVDATE,LOCATION,TANNER,USE,,OLD_NAME
1140706,1/5/2017,D,3,SPORT,,D
1140706,12/31/2017,D,0,SPORT,,D
1141079,10/5/2017,E,2,SPORT,,E
1141188,12/30/2017,E,0,SPORT,,CODE E
1141297,10/25/2017,E,0,SPORT,,E
1141306,1/8/2017,E,0,SPORT,,KACHEMAK BAY
1141306,1/16/2017,E,0,SPORT,,KACHEMAK BAY
1141960,1/21/2017,E,2,SPORT,,E
1141960,1/22/2017,E,3,SPORT,,E
1142015,1/1/2017,,4,SPORT,,HOMER
1142342,1/17/2017,E,3,SPORT,,E
1142342,1/18/2017,E,1,SPORT,,E
1142342,1/20/2017,E,3,SPORT,,E
1142451,1/4/2017,E,3,SPORT,,E
1142560,1/4/2017,E,3,SPORT,,E
1143406,2/3/2017,E,0,SPORT,,E
1143624,10/5/2017,E,0,SPORT,,E
1143951,1/5/2017,E,2,SPORT,,E
1144333,1/5/2017,E,3,SPORT,,E
1144333,1/18/2017,E,3,SPORT,,E
1144551,1/15/2017,E,2,SPORT,,E
1144551,1/18/2017,E,3,SPORT,,E
1144660,1/15/2017,E,2,SPORT,,E
1144660,1/18/2017,E,3,SPORT,,E
1144769,1/25/2017,E,3,SPORT,,E
1144878,1/6/2017,E,3,SPORT,,E
1144878,1/23/2017,E,3,SPORT,,E
1144987,1/5/2017,E,3,SPORT,,E
1144987,1/23/2017,E,3,SPORT,,E
1144987,2/7/2017,E,3,SPORT,,E
1144987,2/9/2017,E,3,SPORT,,E
1144987,2/14/2017,E,3,SPORT,,E
1145061,1/6/2017,E,1,SPORT,,E
1145061,1/18/2017,E,2,SPORT,,E
1145388,1/6/2017,E,0,SPORT,,E
1145497,1/6/2017,E,0,SPORT,,E
1146433,1/15/2017,E,3,SPORT,,KACHEMAK BAY
1146433,1/16/2017,E,3,SPORT,,KACHEMAK BAY
1146433,2/10/2017,E,3,SPORT,,KACHEMAK BAY
1146433,2/11/2017,E,3,SPORT,,KACHEMAK BAY
1146433,2/21/2017,E,3,SPORT,,KACHEMAK  BAY
1146542,2/17/2017,E,3,SPORT,,E
1146651,1/19/2017,E,0,SPORT,,E
1146760,2/9/2017,E,0,SPORT,,E
