"","permit","fishery","red","king","coho","pink","chum","flounder","mailing","status","city"
"90",237,"KENAI",16,0,0,0,0,0,0,"HARVEST REPORTED","ANCHORAGE"
"91",238,"KENAI",20,0,0,1,0,0,0,"HARVEST REPORTED","ANCHORAGE"
"92",239,"KENAI",24,0,0,1,0,0,0,"HARVEST REPORTED","ANCHORAGE"
"93",240,"KENAI",11,0,1,3,0,0,0,"HARVEST REPORTED","ANCHORAGE"
"94",241,"KENAI",15,0,0,0,0,0,0,"HARVEST REPORTED","ANCHORAGE"
"95",244,"KENAI",16,0,0,0,0,0,0,"HARVEST REPORTED","ANCHORAGE"
"96",245,"KENAI",11,0,0,0,0,0,0,"HARVEST REPORTED","ANCHORAGE"
"97",246,"KASILOF DIPNET",9,0,0,0,0,0,0,"HARVEST REPORTED","HOMER"
"98",246,"KENAI",1,0,0,0,0,0,0,"HARVEST REPORTED","HOMER"
"99",248,"KENAI",30,0,0,0,0,0,1,"HARVEST REPORTED","ANCHORAGE"
"100",249,"KENAI",2,0,0,0,0,0,0,"HARVEST REPORTED","ANCHORAGE"
"101",250,"KENAI",5,0,0,0,0,0,1,"HARVEST REPORTED","ANCHORAGE"
"102",251,"KENAI",2,0,0,1,0,0,0,"HARVEST REPORTED","ANCHORAGE"
"103",253,"KENAI",23,0,0,13,0,0,0,"HARVEST REPORTED","ANCHORAGE"
"104",254,"KENAI",2,0,0,0,0,0,0,"HARVEST REPORTED","ANCHORAGE"
"105",261,"KENAI",20,0,0,3,0,0,0,"HARVEST REPORTED","ANCHORAGE"
"106",262,"KENAI",12,0,0,0,0,0,2,"HARVEST REPORTED","ANCHORAGE"
"107",264,"KENAI",0,0,0,0,0,0,1,"HARVEST REPORTED","ANCHORAGE"
"108",265,"KENAI",15,0,0,0,0,0,0,"HARVEST REPORTED","ANCHORAGE"
"109",266,"KENAI",11,0,0,1,0,0,0,"HARVEST REPORTED","ANCHORAGE"
"110",267,"KASILOF DIPNET",20,0,0,0,0,0,2,"HARVEST REPORTED","ANCHORAGE"
"111",270,"KENAI",22,0,0,0,0,0,0,"HARVEST REPORTED","WASILLA"
"112",271,"KENAI",2,0,0,0,0,0,0,"HARVEST REPORTED","ANCHORAGE"
"113",272,"KENAI",22,0,0,0,0,0,0,"HARVEST REPORTED","ANCHORAGE"
"114",274,"KENAI",25,0,0,0,0,0,0,"HARVEST REPORTED","ANCHORAGE"
"115",275,"KASILOF DIPNET",22,0,0,0,0,0,0,"HARVEST REPORTED","ANCHORAGE"
"116",276,"KENAI",2,0,0,0,0,0,0,"HARVEST REPORTED","ANCHORAGE"
"117",277,"KENAI",10,0,0,0,0,0,0,"HARVEST REPORTED","ANCHORAGE"
"118",278,"KENAI",2,0,0,2,0,1,2,"HARVEST REPORTED","ANCHORAGE"
"119",280,"KENAI",16,0,0,9,0,0,0,"HARVEST REPORTED","ANCHORAGE"
"120",281,"KENAI",26,0,0,0,0,0,0,"HARVEST REPORTED","INDIAN"
"121",282,"KENAI",4,0,0,1,0,0,0,"HARVEST REPORTED","EAGLE RIVER"
"122",283,"KASILOF DIPNET",20,0,0,0,0,0,0,"HARVEST REPORTED","ANCHORAGE"
"123",285,"KENAI",0,0,0,0,0,0,2,"HARVEST REPORTED","ANCHORAGE"
"124",287,"KENAI",0,0,0,0,0,0,0,"HARVEST REPORTED","ANCHORAGE"
"125",288,"KENAI",0,0,0,0,0,0,1,"HARVEST REPORTED","ANCHORAGE"
"126",289,"KENAI",22,0,0,0,0,0,0,"HARVEST REPORTED","CHUGIAK"
"127",290,"KENAI",0,0,0,0,0,0,0,"HARVEST REPORTED","ANCHORAGE"
"128",291,"KENAI",18,0,0,2,0,0,0,"HARVEST REPORTED","ANCHORAGE"
"129",292,"KENAI",16,0,0,13,0,0,0,"HARVEST REPORTED","ANCHORAGE"
"130",293,"KENAI",16,0,0,0,0,0,0,"HARVEST REPORTED","ANCHORAGE"
"131",294,"KASILOF DIPNET",9,0,0,2,0,0,0,"HARVEST REPORTED","ANCHORAGE"
"132",294,"KENAI",8,0,0,2,0,0,0,"HARVEST REPORTED","ANCHORAGE"
"133",295,"KENAI",7,0,0,0,0,0,0,"HARVEST REPORTED","ANCHORAGE"
"134",298,"KENAI",0,0,0,0,0,0,0,"HARVEST REPORTED","ANCHORAGE"
"135",299,"KASILOF DIPNET",6,0,2,0,0,0,0,"HARVEST REPORTED","ANCHORAGE"
"136",300,"FISH CREEK",15,0,0,0,0,0,2,"HARVEST REPORTED","ANCHORAGE"
"137",301,"KENAI",14,0,0,0,0,0,0,"HARVEST REPORTED","ANCHORAGE"
"138",302,"KASILOF DIPNET",8,0,0,0,0,0,0,"HARVEST REPORTED","ANCHORAGE"
"139",303,"KENAI",8,0,0,3,0,0,1,"HARVEST REPORTED","ANCHORAGE"
"140",304,"KENAI",10,0,0,2,0,0,0,"HARVEST REPORTED","ANCHORAGE"
"141",305,"KENAI",2,0,0,1,0,0,0,"HARVEST REPORTED","ANCHORAGE"
"142",306,"KASILOF DIPNET",0,0,0,0,0,0,0,"HARVEST REPORTED","ANCHORAGE"
"143",307,"KENAI",9,0,0,0,0,0,0,"HARVEST REPORTED","ANCHORAGE"
"144",308,"KENAI",8,0,0,1,0,0,0,"HARVEST REPORTED","ANCHORAGE"
"145",309,"KENAI",13,0,0,0,0,0,0,"HARVEST REPORTED","ANCHORAGE"
"146",310,"KASILOF DIPNET",15,0,0,0,0,0,0,"HARVEST REPORTED","ANCHORAGE"
"147",310,"KENAI",10,0,0,0,0,0,0,"HARVEST REPORTED","ANCHORAGE"
"148",312,"FISH CREEK",1,0,0,0,0,0,0,"HARVEST REPORTED","ANCHORAGE"
"149",313,"FISH CREEK",0,0,0,0,0,0,1,"HARVEST REPORTED","ANCHORAGE"
"150",314,"FISH CREEK",3,0,0,0,0,0,0,"HARVEST REPORTED","ANCHORAGE"
"151",317,"KASILOF DIPNET",19,0,0,0,0,0,0,"HARVEST REPORTED","ANCHORAGE"
"152",318,"KASILOF DIPNET",32,0,2,0,1,0,0,"HARVEST REPORTED","NORTH POLE"
"153",702,"KASILOF DIPNET",9,0,0,0,0,0,0,"HARVEST REPORTED","ANCHORAGE"
"154",704,"KASILOF GILLNET",14,0,0,0,0,0,0,"HARVEST REPORTED","ANCHORAGE"
"155",709,"KASILOF DIPNET",6,1,0,0,0,0,0,"HARVEST REPORTED","ANCHORAGE"
"156",710,"KASILOF DIPNET",23,0,0,0,0,0,0,"HARVEST REPORTED","PALMER"
"157",711,"KASILOF DIPNET",10,0,0,0,0,0,0,"HARVEST REPORTED","ANCHORAGE"
"158",711,"KASILOF GILLNET",10,0,0,0,0,0,0,"HARVEST REPORTED","ANCHORAGE"
"159",712,"KASILOF DIPNET",3,0,0,0,0,1,0,"HARVEST REPORTED","ANCHORAGE"
"160",712,"KENAI",0,0,0,0,0,1,0,"HARVEST REPORTED","ANCHORAGE"
"161",713,"KENAI",17,0,0,0,0,0,0,"HARVEST REPORTED","ANCHORAGE"
"162",714,"KASILOF DIPNET",68,0,0,6,0,0,0,"HARVEST REPORTED","ANCHORAGE"
"163",716,"KASILOF DIPNET",55,0,0,0,0,0,0,"HARVEST REPORTED","ANCHORAGE"
"164",724,"KASILOF DIPNET",22,0,0,2,0,0,0,"HARVEST REPORTED","NORTH POLE"
"165",727,"KASILOF DIPNET",7,0,0,0,0,0,0,"HARVEST REPORTED","ANCHORAGE"
"166",727,"KENAI",1,0,0,0,0,0,0,"HARVEST REPORTED","ANCHORAGE"
"167",730,"KASILOF DIPNET",1,0,0,0,0,5,0,"HARVEST REPORTED","ANCHORAGE"
"168",731,"KASILOF DIPNET",19,0,0,0,0,0,2,"HARVEST REPORTED","WASILLA"
"169",732,"KENAI",6,0,0,0,0,0,2,"HARVEST REPORTED","EAGLE RIVER"
"170",733,"KENAI",0,0,0,0,0,0,0,"HARVEST REPORTED","ANCHORAGE"
"171",735,"KASILOF DIPNET",12,0,0,0,0,0,0,"HARVEST REPORTED","PALMER"
"172",736,"KENAI",0,0,0,0,0,0,0,"HARVEST REPORTED","EAGLE RIVER"
"173",738,"KASILOF DIPNET",6,0,0,0,0,0,0,"HARVEST REPORTED","ANCHORAGE"
"174",741,"KENAI",1,0,0,0,0,0,2,"HARVEST REPORTED","CHUGIAK"
"175",742,"KASILOF DIPNET",18,0,0,0,0,0,0,"HARVEST REPORTED","ANCHORAGE"
"176",742,"KENAI",19,0,0,0,0,0,0,"HARVEST REPORTED","ANCHORAGE"
"177",742,"UNKNOWN",9,0,0,0,0,0,0,"HARVEST REPORTED","ANCHORAGE"
"178",745,"KENAI",12,0,0,0,0,0,0,"HARVEST REPORTED","EAGLE RIVER"
