gear_mark,section_mark,len_mark,tag,section_recap,len_recap,gear_recap,mark,recap,both_events
Angling,2,340,1235,NA,NA,NA,1,0,0
Angling,2,493,1236,4,489,Gill Net,1,1,1
Angling,2,375,1237,NA,NA,NA,1,0,0
Angling,2,522,1238,3,529,Gill Net,1,1,1
Angling,2,480,1239,3,484,Gill Net,1,1,1
Angling,2,379,1240,3,381,Gill Net,1,1,1
Angling,2,432,1241,3,435,Gill Net,1,1,1
Angling,2,410,1243,2,415,Gill Net,1,1,1
Angling,2,312,1244,2,327,Gill Net,1,1,1
Angling,2,457,1245,NA,NA,NA,1,0,0
Angling,2,396,1246,NA,NA,NA,1,0,0
Angling,2,396,1247,2,408,Gill Net,1,1,1
Angling,2,492,1248,2,522,Gill Net,1,1,1
Angling,2,345,1249,NA,NA,NA,1,0,0
Angling,3,360,1250,NA,NA,NA,1,0,0
Angling,3,465,1251,3,471,Angler,1,1,1
Angling,3,392,1252,NA,NA,NA,1,0,0
Angling,3,575,1253,2,575,Gill Net,1,1,1
Angling,3,474,1254,3,476,Gill Net,1,1,1
Angling,3,410,1255,3,408,Gill Net,1,1,1
Angling,3,351,1256,3,363,Gill Net,1,1,1
Angling,3,404,1257,NA,NA,NA,1,0,0
Angling,3,341,1258,3,371,Gill Net,1,1,1
Angling,3,330,1259,NA,NA,NA,1,0,0
Angling,3,382,1260,3,395,Gill Net,1,1,1
Angling,3,460,1261,NA,NA,NA,1,0,0
Angling,3,351,1262,3,344,Gill Net,1,1,1
Angling,3,335,1263,3,343,Gill Net,1,1,1
Angling,3,401,1264,3,401,Gill Net,1,1,1
Angling,3,352,1265,NA,NA,NA,1,0,0
Angling,3,443,1267,3,459,Gill Net,1,1,1
Angling,3,503,1269,1,510,Gill Net,1,1,1
Angling,3,302,1270,2,312,Gill Net,1,1,1
Angling,3,458,1271,3,427,Gill Net,1,1,1
Angling,3,473,1272,2,490,Gill Net,1,1,1
Angling,3,560,1273,NA,NA,NA,1,0,0
Angling,3,604,1274,NA,NA,NA,1,0,0
Angling,3,343,1275,NA,NA,NA,1,0,0
Angling,3,381,1276,NA,NA,NA,1,0,0
Angling,3,430,1277,3,450,Gill Net,1,1,1
Angling,3,419,1278,3,430,Gill Net,1,1,1
Angling,3,386,1279,NA,NA,NA,1,0,0
Angling,3,526,1280,3,520,Gill Net,1,1,1
Angling,3,345,1281,NA,NA,NA,1,0,0
Angling,3,311,1283,3,312,Gill Net,1,1,1
Angling,3,635,1284,2,660,Gill Net,1,1,1
Angling,3,447,1285,NA,NA,NA,1,0,0
Angling,3,476,1286,3,486,Angler,1,1,1
Angling,3,356,1287,NA,NA,NA,1,0,0
Angling,3,410,1288,NA,NA,NA,1,0,0
Angling,3,446,1290,1,448,Gill Net,1,1,1
Angling,3,337,1291,NA,NA,NA,1,0,0
Angling,3,502,1292,NA,NA,NA,1,0,0
Angling,3,436,1293,NA,NA,NA,1,0,0
Angling,3,435,1294,2,450,Gill Net,1,1,1
Angling,3,480,1295,1,486,Gill Net,1,1,1
Angling,3,580,1296,NA,NA,NA,1,0,0
Angling,3,416,1297,3,421,Gill Net,1,1,1
Angling,3,526,1298,3,528,Gill Net,1,1,1
Angling,3,433,1299,NA,NA,NA,1,0,0
Gillnets,1,385,1300,NA,NA,NA,1,0,0
Gillnets,1,337,1301,1,354,Gill Net,1,1,1
Gillnets,1,320,1302,1,329,Gill Net,1,1,1
Gillnets,1,395,1303,1,397,Gill Net,1,1,1
Gillnets,1,332,1304,NA,NA,NA,1,0,0
Gillnets,1,472,1305,1,477,Gill Net,1,1,1
Gillnets,1,417,1306,1,426,Gill Net,1,1,1
Gillnets,1,411,1307,NA,NA,NA,1,0,0
Gillnets,1,425,1308,1,425,Gill Net,1,1,1
Gillnets,1,325,1309,1,335,Gill Net,1,1,1
Gillnets,1,320,1310,1,334,Gill Net,1,1,1
Gillnets,1,375,1311,NA,NA,NA,1,0,0
Gillnets,1,367,1312,1,378,Gill Net,1,1,1
Gillnets,1,413,1313,2,416,Gill Net,1,1,1
Gillnets,1,390,1314,1,401,Gill Net,1,1,1
Gillnets,1,610,1315,NA,NA,NA,1,0,0
Gillnets,1,363,1317,1,375,Gill Net,1,1,1
Gillnets,1,384,1318,1,387,Gill Net,1,1,1
Gillnets,1,440,1319,1,440,Gill Net,1,1,1
Gillnets,1,560,1320,1,561,Gill Net,1,1,1
Gillnets,1,443,1321,1,440,Gill Net,1,1,1
Gillnets,1,380,1322,1,389,Gill Net,1,1,1
Gillnets,1,434,1323,NA,NA,NA,1,0,0
Gillnets,1,391,1324,1,394,Gill Net,1,1,1
Gillnets,2,374,1325,NA,NA,NA,1,0,0
Gillnets,2,381,1326,2,382,Gill Net,1,1,1
Gillnets,2,439,1328,NA,NA,NA,1,0,0
Gillnets,2,417,1329,1,419,Gill Net,1,1,1
Gillnets,2,368,1330,2,386,Gill Net,1,1,1
Gillnets,2,596,1331,4,611,Angler,1,1,1
Gillnets,2,435,1332,NA,NA,NA,1,0,0
Gillnets,2,314,1333,NA,NA,NA,1,0,0
Gillnets,2,327,1334,NA,NA,NA,1,0,0
Gillnets,2,598,1335,2,589,Gill Net,1,1,1
Gillnets,2,497,1336,NA,NA,NA,1,0,0
Gillnets,2,448,1337,3,456,Gill Net,1,1,1
Gillnets,2,408,1338,1,419,Angler,1,1,1
Gillnets,2,348,1339,NA,NA,NA,1,0,0
Gillnets,2,362,1340,NA,NA,NA,1,0,0
Gillnets,2,590,1342,4,595,Gill Net,1,1,1
Gillnets,2,347,1343,1,361,Gill Net,1,1,1
Gillnets,2,413,1344,2,421,Gill Net,1,1,1
Gillnets,2,513,1345,2,505,Gill Net,1,1,1
Gillnets,2,420,1346,3,434,Gill Net,1,1,1
Gillnets,2,320,1347,NA,NA,NA,1,0,0
Gillnets,2,425,1348,NA,NA,NA,1,0,0
Gillnets,4,520,1350,NA,NA,NA,1,0,0
Gillnets,4,319,1351,NA,NA,NA,1,0,0
Gillnets,4,440,1352,4,447,Gill Net,1,1,1
Gillnets,4,450,1353,NA,NA,NA,1,0,0
Gillnets,4,515,1354,3,519,Gill Net,1,1,1
Gillnets,4,534,1355,4,549,Gill Net,1,1,1
Gillnets,4,356,1357,NA,NA,NA,1,0,0
Gillnets,4,390,1358,4,400,Gill Net,1,1,1
Gillnets,4,500,1359,2,510,Gill Net,1,1,1
Gillnets,4,385,1360,NA,NA,NA,1,0,0
Gillnets,4,364,1361,NA,NA,NA,1,0,0
Gillnets,5,575,1362,NA,NA,NA,1,0,0
Gillnets,5,445,1363,NA,NA,NA,1,0,0
Gillnets,5,653,1364,5,636,Angler,1,1,1
Gillnets,5,413,1365,NA,NA,NA,1,0,0
Gillnets,5,539,1366,5,535,Gill Net,1,1,1
Gillnets,5,511,1367,NA,NA,NA,1,0,0
Gillnets,5,565,1368,NA,NA,NA,1,0,0
Gillnets,2,450,1372,2,452,Gill Net,1,1,1
Gillnets,2,426,1373,2,431,Gill Net,1,1,1
Gillnets,2,496,1374,2,505,Angler,1,1,1
Angling,4,507,1375,4,515,Angler,1,1,1
Angling,4,383,1376,4,394,Gill Net,1,1,1
Angling,4,370,1377,NA,NA,NA,1,0,0
Angling,4,382,1378,NA,NA,NA,1,0,0
Angling,4,430,1379,4,448,Gill Net,1,1,1
Angling,4,360,1380,NA,NA,NA,1,0,0
Angling,4,460,1381,NA,NA,NA,1,0,0
Angling,4,325,1382,NA,NA,NA,1,0,0
Angling,4,480,1383,4,520,Gill Net,1,1,1
Angling,4,350,1384,4,358,Gill Net,1,1,1
Angling,4,342,1385,NA,NA,NA,1,0,0
Angling,4,380,1386,NA,NA,NA,1,0,0
Angling,4,435,1387,4,428,Gill Net,1,1,1
Angling,4,425,1388,4,438,Gill Net,1,1,1
Angling,4,375,1389,4,365,Angler,1,1,1
Gillnets,4,458,1390,NA,NA,NA,1,0,0
Gillnets,4,320,1391,4,343,Gill Net,1,1,1
Gillnets,4,375,1392,4,384,Angler,1,1,1
Gillnets,4,365,1393,NA,NA,NA,1,0,0
Gillnets,4,375,1394,NA,NA,NA,1,0,0
Gillnets,4,584,1395,NA,NA,NA,1,0,0
Gillnets,4,326,1396,NA,NA,NA,1,0,0
Gillnets,4,440,1397,4,446,Gill Net,1,1,1
Gillnets,4,335,1398,NA,NA,NA,1,0,0
Gillnets,4,740,1399,4,750,Gill Net,1,1,1
Angling,4,441,1400,4,454,Gill Net,1,1,1
Angling,4,382,1401,NA,NA,NA,1,0,0
Angling,4,358,1402,NA,NA,NA,1,0,0
Angling,5,472,1403,5,473,Angler,1,1,1
Angling,5,431,1404,5,418,Gill Net,1,1,1
Angling,5,548,1405,NA,NA,NA,1,0,0
Angling,5,410,1406,NA,NA,NA,1,0,0
Angling,5,501,1407,NA,NA,NA,1,0,0
Angling,1,342,1408,2,364,Gill Net,1,1,1
Angling,1,345,1409,NA,NA,NA,1,0,0
Angling,1,378,1410,1,394,Gill Net,1,1,1
Angling,1,520,1411,NA,NA,NA,1,0,0
Angling,3,335,1412,3,345,Gill Net,1,1,1
Angling,3,540,1413,3,534,Gill Net,1,1,1
Angling,3,446,1414,NA,NA,NA,1,0,0
Angling,3,557,1416,2,562,Gill Net,1,1,1
Angling,3,476,1417,3,474,Gill Net,1,1,1
Angling,3,429,1418,NA,NA,NA,1,0,0
Angling,3,523,1420,NA,NA,NA,1,0,0
Angling,3,412,1421,NA,NA,NA,1,0,0
Angling,3,427,1422,NA,NA,NA,1,0,0
Angling,3,323,1423,3,318,Gill Net,1,1,1
Angling,3,382,1424,NA,NA,NA,1,0,0
Angling,4,338,1425,4,396,Gill Net,1,1,1
Angling,4,495,1426,4,510,Gill Net,1,1,1
Angling,4,492,1427,4,496,Gill Net,1,1,1
Angling,4,320,1428,4,308,Gill Net,1,1,1
Angling,4,325,1429,NA,NA,NA,1,0,0
Angling,4,494,1430,NA,NA,NA,1,0,0
Angling,4,329,1432,4,360,Angler,1,1,1
Angling,4,484,1433,4,487,Gill Net,1,1,1
Angling,4,398,1434,NA,NA,NA,1,0,0
Angling,4,321,1435,NA,NA,NA,1,0,0
Angling,4,464,1436,1,463,Gill Net,1,1,1
Angling,4,339,1437,NA,NA,NA,1,0,0
Angling,4,484,1438,4,490,Gill Net,1,1,1
Angling,4,356,1439,NA,NA,NA,1,0,0
Angling,4,397,1440,NA,NA,NA,1,0,0
Angling,4,376,1441,NA,NA,NA,1,0,0
Angling,4,425,1442,NA,NA,NA,1,0,0
Angling,4,468,1443,4,488,Gill Net,1,1,1
Angling,4,417,1444,NA,NA,NA,1,0,0
Angling,4,387,1445,NA,NA,NA,1,0,0
Angling,4,420,1446,NA,NA,NA,1,0,0
Angling,4,423,1447,NA,NA,NA,1,0,0
Angling,4,330,1448,NA,NA,NA,1,0,0
Angling,4,395,1449,4,406,Angler,1,1,1
Angling,6,305,1450,NA,NA,NA,1,0,0
Angling,6,441,1451,6,447,Gill Net,1,1,1
Angling,6,341,1452,6,355,Gill Net,1,1,1
Angling,6,383,1453,NA,NA,NA,1,0,0
Angling,6,367,1454,NA,NA,NA,1,0,0
Angling,6,339,1455,NA,NA,NA,1,0,0
Angling,6,453,1456,NA,NA,NA,1,0,0
Angling,6,450,1457,4,470,Gill Net,1,1,1
Angling,6,486,1458,4,487,Gill Net,1,1,1
Angling,6,440,1459,NA,NA,NA,1,0,0
Angling,6,434,1460,NA,NA,NA,1,0,0
Angling,5,416,1461,5,415,Gill Net,1,1,1
Angling,5,605,1462,NA,NA,NA,1,0,0
Angling,5,440,1463,5,450,Gill Net,1,1,1
Angling,2,430,1464,2,432,Gill Net,1,1,1
Angling,2,332,1465,2,353,Gill Net,1,1,1
Angling,2,364,1466,2,374,Gill Net,1,1,1
Angling,2,440,1467,1,459,Gill Net,1,1,1
Angling,2,390,1468,NA,NA,NA,1,0,0
Angling,2,542,1469,NA,NA,NA,1,0,0
Angling,4,364,1470,NA,NA,NA,1,0,0
Angling,4,340,1471,4,348,Angler,1,1,1
Angling,4,414,1472,4,416,Gill Net,1,1,1
Angling,4,412,1473,4,425,Gill Net,1,1,1
Angling,4,442,1474,NA,NA,NA,1,0,0
